"MIME Type","File Extension(s)"
"application/1d-interleaved-parityfec",""
"application/3gpdash-qoe-report+xml",".qoe"
"application/3gpp-ims+xml",""
"application/a2l",".a2l"
"application/activemessage",""
"application/activity+json",".activity.json"
"application/alto-costmap+json",".costmap.json"
"application/alto-costmapfilter+json",""
"application/alto-directory+json",""
"application/alto-endpointcost+json",""
"application/alto-endpointcostparams+json",""
"application/alto-endpointprop+json",""
"application/alto-endpointpropparams+json",""
"application/alto-error+json",""
"application/alto-networkmap+json",".networkmap.json"
"application/alto-networkmapfilter+json",""
"application/alto-updatestreamcontrol+json",""
"application/alto-updatestreamparams+json",""
"application/AML",".aml"
"application/andrew-inset",".ez"
"application/applefile",""
"application/applixware",".aw"
"application/at+jwt",""
"application/atf",".atf"
"application/ATF",".atfx"
"application/atom+xml",".atom"
"application/atomcat+xml",".atomcat"
"application/atomdeleted+xml",""
"application/atomicmail",""
"application/atomsvc+xml",".atomsvc"
"application/atsc-dwd+xml",".dwd"
"application/atsc-held+xml",".held"
"application/atsc-rdt+json",""
"application/atsc-rsat+xml",".rsat"
"application/atxml",".atxml"
"application/auth-policy+xml",""
"application/bacnet-xdd+zip",".xdd.zip"
"application/batch-smtp",""
"application/beep+xml",""
"application/calendar+json",".calendar.json"
"application/calendar+xml",".xcs"
"application/call-completion",""
"application/cals-1840",""
"application/captive+json",""
"application/cbor",".cbor"
"application/cbor-seq",".cborseq"
"application/cccex",""
"application/ccmp+xml",""
"application/ccxml+xml",".ccxml"
"application/cdfx+xml",".cdfx"
"application/cdmi-capability",""
"application/cdmi-container",""
"application/cdmi-domain",""
"application/cdmi-object",""
"application/cdmi-queue",""
"application/cdni",""
"application/cea",""
"application/cea-2018+xml",""
"application/cellml+xml",".cellml"
"application/cfw",""
"application/city+json",".city.json"
"application/clr",""
"application/clue+xml",""
"application/clue_info+xml",""
"application/cms",".cms,.p7m"
"application/cnrp+xml",""
"application/coap-group+json",""
"application/coap-payload",""
"application/commonground",""
"application/conference-info+xml",""
"application/cose",".cose"
"application/cose-key",".cosekey"
"application/cose-key-set",".cosekeyset"
"application/cpl+xml",".cpl"
"application/csrattrs",".csrattrs"
"application/csta+xml",""
"application/cstadata+xml",""
"application/csvm+json",".csvm.json"
"application/cu-seeme",".cu"
"application/cwt",".cwt"
"application/cybercash",""
"application/dart",""
"application/dash+xml",".mpd"
"application/dashdelta",""
"application/davmount+xml",".davmount"
"application/dca-rft",""
"application/dcd",""
"application/dec-dx",""
"application/dialog-info+xml",""
"application/dicom",".dcm"
"application/dicom+json",".dicom.json"
"application/dicom+xml",".dicom.xml"
"application/dii",""
"application/dit",""
"application/dns",""
"application/dns+json",".dns.json"
"application/dns-message",".dnsmsg"
"application/docbook+xml",".dbk"
"application/dskpp+xml",""
"application/dssc+der",".dssc"
"application/dssc+xml",".xdssc"
"application/dvcs",""
"application/ecmascript",".js,.es"
"application/edi-consent",""
"application/edi-x12",""
"application/edifact",""
"application/efi",""
"application/elm+json",".elm.json"
"application/elm+xml",".elm.xml"
"application/emergencycalldata.cap+xml",".cap"
"application/emergencycalldata.comment+xml",""
"application/emergencycalldata.control+xml",""
"application/emergencycalldata.deviceinfo+xml",""
"application/emergencycalldata.ecall.msd",".msd"
"application/emergencycalldata.providerinfo+xml",""
"application/emergencycalldata.serviceinfo+xml",""
"application/emergencycalldata.subscriberinfo+xml",""
"application/emergencycalldata.veds+xml",""
"application/emma+xml",".emma"
"application/emotionml+xml",".emotionml"
"application/encaprtp",""
"application/epp+xml",""
"application/epub+zip",".epub"
"application/eshop",""
"application/exi",".exi"
"application/expect-ct-report+json",""
"application/express",".exp"
"application/fastinfoset",".finf"
"application/fastsoap",""
"application/fdt+xml",".fdt"
"application/fhir+json",".fhir.json"
"application/fhir+xml",".fhir.xml"
"application/fido.trusted-apps+json",""
"application/fits",".fits"
"application/font-sfnt",""
"application/font-tdpfr",".pfr"
"application/font-woff",".woff"
"application/framework-attributes+xml",""
"application/geo+json",".geojson"
"application/geo+json-seq",".geojsons"
"application/geopackage+sqlite3",".gpkg"
"application/geoxacml+xml",""
"application/gltf-buffer",".glb"
"application/gml+xml",".gml,.gml3"
"application/gpx+xml",".gpx"
"application/gxf",".gxf"
"application/gzip",".gz"
"application/h224",""
"application/held+xml",""
"application/hjson",".hjson"
"application/http",""
"application/hyperstudio",".stk"
"application/ibe-key-request+xml",""
"application/ibe-pkg-reply+xml",""
"application/ibe-pp-data",""
"application/iges",".igs,.iges"
"application/im-iscomposing+xml",""
"application/index",""
"application/index.cmd",""
" application/index.obj",""
"application/index.response",""
"application/index.vnd",""
"application/inkml+xml",".ink,.inkml"
"application/iotp",""
"application/ipfix",".ipfix"
"application/ipp",""
"application/isup",""
"application/its+xml",".its"
"application/java-archive",".jar"
"application/java-serialized-object",".ser"
"application/java-vm",".class"
"application/javascript",".js"
"application/jf2feed+json",".jf2.json"
"application/jose",".jose"
"application/jose+json",""
"application/jrd+json",".jrd.json"
"application/jscalendar+json",".jscalendar.json"
"application/json",".json"
"application/json-patch+json",".json-patch"
"application/json-seq",".json-seq"
"application/jwk+json",".jwk.json"
"application/jwk-set+json",".jwk-set.json"
"application/jwt",".jwt"
"application/kpml-request+xml",""
"application/kpml-response+xml",""
"application/ld+json",".jsonld"
"application/lgr+xml",".lgr"
"application/link-format",".linkformat"
"application/load-control+xml",""
"application/lost+xml",".lostxml"
"application/lostsync+xml",".lostsync"
"application/lpf+zip",".lpf"
"application/LXF",".lxf"
"application/mac-binhex40",".hqx"
"application/macwriteii",".mw"
"application/mads+xml",".mads"
"application/manifest+json",".webmanifest"
"application/marc",".mrc"
"application/marcxml+xml",".mrcx"
"application/mathematica",".nb,.nbp,.ma"
"application/mathml+xml",".mathml,.mml"
"application/mathml-content+xml",""
"application/mathml-presentation+xml",""
"application/mbms-associated-procedure-description+xml",""
"application/mbms-deregister+xml",""
"application/mbms-envelope+xml",""
"application/mbms-msk+xml",""
"application/mbms-msk-response+xml",""
"application/mbms-protection-description+xml",""
"application/mbms-reception-report+xml",""
"application/mbms-register+xml",""
"application/mbms-register-response+xml",""
"application/mbms-schedule+xml",""
"application/mbms-user-service-description+xml",""
"application/mbox",".mbox"
"application/media-policy-dataset+xml",""
